+-----------+--------+-----------------+
|    Name   | Median | Fail Percentage |
|  CMNS 447 |   B+   |  0.952380952381 |
|  CMNS 448 |   A    |       0.0       |
|  CMNS 452 |   B+   |  2.10727969349  |
|  CMNS 453 |   B+   |  1.56739811912  |
|  CMNS 454 |   B+   |       0.0       |
|  CMNS 455 |   B+   |  0.195694716243 |
|  CMNS 456 |   B+   |  1.08695652174  |
|  CMNS 458 |   A-   |       0.0       |
|  CMNS 460 |   A-   |  1.31578947368  |
|  CMNS 473 |   B+   |       0.0       |
|  CMNS 478 | B+/A-  |       0.0       |
|  CMNS 479 |   A-   |  0.310559006211 |
|  CMNS 480 |   A-   |  0.568181818182 |
|  CMNS 481 |   A    |       0.0       |
|  CMNS 482 |   A    |       0.0       |
|  CMNS 483 |   A    |       0.0       |
|  CMNS 486 |   A-   |  1.04166666667  |
|  CMNS 487 |   B+   |  1.05263157895  |
|  CMNS 488 |   B+   |  0.446428571429 |
|  CMNS 489 |   A    |       0.0       |
|  CMNS 497 |   A    |       0.0       |
|  CMNS 498 |   A    |       0.0       |
|  CMPT 102 |   B    |  7.66961651917  |
| CMPT 105W |   B-   |  2.02702702703  |
|  CMPT 106 |   B-   |  0.766283524904 |
|  CMPT 110 |   B    |  9.69827586207  |
|  CMPT 118 |   F    |      100.0      |
|  CMPT 120 |   B-   |  12.1751824818  |
|  CMPT 125 |   B-   |  10.2786377709  |
|  CMPT 126 |   B    |  10.5042016807  |
|  CMPT 127 |   A    |  19.3430656934  |
|  CMPT 128 |   B-   |   10.612244898  |
|  CMPT 130 |   B    |  8.04988662132  |
|  CMPT 135 |   B+   |  5.28301886792  |
|  CMPT 150 |   B-   |  11.7061973986  |
|  CMPT 165 |   B+   |   3.6312849162  |
|  CMPT 166 |   B+   |  3.15876974231  |
|  CMPT 212 |   B+   |       0.0       |
|  CMPT 213 |   B    |  3.94736842105  |
|  CMPT 225 |   B-   |  8.03088803089  |
|  CMPT 250 |   B-   |  6.80076628352  |
|  CMPT 275 |   B    |  0.457142857143 |
|  CMPT 276 |   B    |  2.88220551378  |
|  CMPT 295 |   B-   |   10.199556541  |
|  CMPT 300 |   B    |  3.87205387205  |
|  CMPT 305 |   B    |  4.16666666667  |
|  CMPT 307 |   B-   |  9.52380952381  |
|  CMPT 308 |   C+   |  17.4193548387  |
|  CMPT 310 |   B    |  3.42717258262  |
|  CMPT 318 |   A    |       0.0       |
|  CMPT 320 |   B-   |  2.71622587563  |
| CMPT 322W |   B-   |  1.54320987654  |
|  CMPT 340 |   B+   |  5.12820512821  |
|  CMPT 354 |   B    |  2.39482200647  |
|  CMPT 361 |   B-   |  11.5732368897  |
|  CMPT 363 |   B+   |       0.0       |
|  CMPT 365 |   B    |  1.41955835962  |
|  CMPT 370 |   B    |       0.0       |
|  CMPT 371 |   B-   |  4.35949027498  |
|  CMPT 373 |   B+   |  2.13903743316  |
| CMPT 376W |   B+   |  1.33715377268  |
|  CMPT 379 |   B+   |  10.2272727273  |
|  CMPT 383 |   B    |   3.1894934334  |
|  CMPT 404 |   B-   |  14.4230769231  |
|  CMPT 405 |   B-   |       9.6       |
|  CMPT 407 |   B    |       0.0       |
|  CMPT 408 |   B    |       0.0       |
|  CMPT 411 |   C+   |  11.6564417178  |
|  CMPT 412 |   B    |  9.34065934066  |
|  CMPT 413 |   B+   |  5.38922155689  |
|  CMPT 414 |   B    |  3.47826086957  |
|  CMPT 415 |   A    |  1.40845070423  |
|  CMPT 416 |   A    |       0.0       |
|  CMPT 417 |   B    |  4.42477876106  |
|  CMPT 418 | B+/A-  |       0.0       |
|  CMPT 419 |   A-   |  6.66666666667  |
|  CMPT 431 |   B+   |  6.64335664336  |
|  CMPT 433 |   B    |  4.83870967742  |
|  CMPT 441 |   B+   |  3.33333333333  |
|  CMPT 454 |   B-   |  2.86561264822  |
|  CMPT 456 |   B+   |       0.0       |
|  CMPT 459 |   B+   |  0.523560209424 |
|  CMPT 461 |  C/C+  |       10.0      |
|  CMPT 464 |  B/B+  |  3.84615384615  |
